label,algo,size,median,mean,std,q25,q75,count,cv
GNU,inclusive_scan,8,20517.254734991577,20474.153076313793,123.82609010459768,20424.41111675734,20575.27502094488,9,0.006047922453400528
GNU,inclusive_scan,16,30573.99337892105,30560.926854565314,102.68251888036238,30503.39489851264,30624.616498426174,9,0.003359928164777609
GNU,inclusive_scan,32,36120.72255964735,36087.001486379144,86.64721637754825,35998.37561825676,36146.83883037358,9,0.002401064450041736
GNU,inclusive_scan,64,39143.617020085985,39079.02898848044,206.69457063543064,38984.5362837801,39197.75821070909,9,0.0052891429491853355
GNU,inclusive_scan,128,45183.72382560131,45139.79224606544,249.77432976624115,45107.131415770855,45287.55426419517,9,0.005533351336769
GNU,inclusive_scan,256,55276.13559656203,55102.809763513345,395.971531898899,54867.14257550716,55339.63208737503,9,0.007186049742260038
GNU,inclusive_scan,512,55846.277254001274,55839.74610468499,343.824144796723,55578.69858184126,55894.67536840438,9,0.0061573371797239585
GNU,inclusive_scan,1024,55740.78389662003,55783.410793019626,434.55025065285633,55604.22850894634,55945.763618290366,9,0.00778995483559125
GNU,inclusive_scan,2048,55837.055164888865,55729.64014620832,407.43768163242754,55513.89714678297,56095.009901390506,9,0.007310969181991899
GNU,inclusive_scan,4096,56150.743685687856,56258.48263535837,318.8562861754359,56119.227355919844,56384.28043274934,9,0.005667701495650279
GNU,inclusive_scan,8192,61349.41078726393,62310.29012040741,1322.9865362264295,61194.099025463816,63617.083666412276,9,0.021232232006461717
GNU,inclusive_scan,16384,61152.662343858836,61129.47876667444,240.81496666620603,61021.4809160307,61199.68589521173,9,0.003939424505570782
GNU,inclusive_scan,32768,63583.97760520132,63623.65195252141,172.23827162876674,63511.71446631739,63590.60646559534,9,0.002707142176580779
GNU,inclusive_scan,65536,67878.59619643718,67886.45523457995,356.67037761118536,67735.72744342794,68120.43355801643,9,0.005253925490419552
GNU,inclusive_scan,131072,74870.78797669483,74942.20744467976,351.75822268559364,74751.01313559315,74999.85704449195,9,0.004693726468429045
GNU,inclusive_scan,262144,88070.0236240264,88208.89369188236,788.7877484675192,87553.46933903015,88555.35165870855,9,0.00894227005298117
GNU,inclusive_scan,524288,124277.16387633984,124361.31425871787,753.1971102558755,124139.03516697664,124758.37478961753,9,0.00605652259905315
GNU,inclusive_scan,1048576,201953.964095169,202143.3726668267,1075.3154597625266,201672.42941600597,202964.56481615014,9,0.005319568213274371
GNU,inclusive_scan,2097152,360213.7133972536,359928.10448878526,1045.286553933988,359455.634879502,360723.5141228302,9,0.0029041537487566695
GNU,inclusive_scan,4194304,1930857.3074792237,1930610.5940289323,8423.923591235673,1924699.3240997237,1934727.1301939052,9,0.0043633468174729345
GNU,inclusive_scan,8388608,5650161.6975806495,5638011.056899642,35416.389165162305,5606754.645161293,5663994.076612907,9,0.006281716869253158
GNU,inclusive_scan,16777216,13027246.952830195,13008673.4475891,89216.16060420897,12962854.603773586,13068609.716981139,9,0.006858205870387455
GNU,inclusive_scan,33554432,27366826.769230764,27357282.128205124,73905.79677612356,27327263.942307692,27399953.076923072,9,0.002701503622683604
GNU,inclusive_scan,67108864,54458197.03846155,54201537.21367522,1743983.7238041556,54375295.615384616,54696991.26923077,9,0.03217590890326526
GNU,inclusive_scan,134217728,107777198.5,107809596.90476191,269921.46586747805,107627107.28571428,107889041.42857142,9,0.0025036868109795866
GNU,inclusive_scan,268435456,140298248.60000002,143083634.6888889,11202758.734914342,137180935.4,142148338.9,9,0.0782951786154499
SYCL-CPU,inclusive_scan,8,279098.0,280140.6666666667,37014.81868454849,253805.0,298589.0,9,0.13212940172157017
SYCL-CPU,inclusive_scan,16,129006.43704455337,129255.96642376183,6575.711192471327,128132.60511022936,131495.76183008947,9,0.05087356022632684
SYCL-CPU,inclusive_scan,32,136518.10407324394,126488.4608142333,15222.551651472591,113668.52793348265,137974.90461509678,9,0.12034735463995504
SYCL-CPU,inclusive_scan,64,112675.0925716137,112651.6307295319,235.4802742136725,112441.13594432725,112834.6700922478,9,0.0020903405719802045
SYCL-CPU,inclusive_scan,128,131046.65480709822,133965.41070009716,5628.165897853541,129964.16862364231,139659.8658956483,9,0.04201208258490756
SYCL-CPU,inclusive_scan,256,134818.6138074487,138273.22148485662,5112.573234373966,134363.14926703647,144538.89144215555,9,0.036974427727019324
SYCL-CPU,inclusive_scan,512,231647.12897891726,259419.38647742398,61826.321052259125,214411.9875981811,282839.1169904917,9,0.23832575464686628
SYCL-CPU,inclusive_scan,1024,278269.7686179425,279497.8119732134,38597.626929194994,243545.8332178735,305102.4838933158,9,0.13809634736208284
SYCL-CPU,inclusive_scan,2048,271836.49922209315,272012.05101776245,1160.5678368756664,271257.29190976283,273057.30999611074,9,0.0042666044851074674
SYCL-CPU,inclusive_scan,4096,319297.87371249363,318480.1104393688,1860.9852322353124,316605.7100313479,320108.5815047012,9,0.005843332664221745
SYCL-CPU,inclusive_scan,8192,377032.70459921315,396375.7424441526,38734.659273256875,369463.788436269,422889.01261497877,9,0.0977220730875437
SYCL-CPU,inclusive_scan,16384,490483.58096828166,489183.8111667597,8282.717290382428,486454.93756260443,494992.24874791293,9,0.016931707675745023
SYCL-CPU,inclusive_scan,32768,584980.9365079355,591454.810454634,17594.277857862282,582680.0802469124,598997.7649911824,9,0.029747459225732013
SYCL-CPU,inclusive_scan,65536,1360475.4352941192,1504235.610830999,800854.7439385246,802005.087955182,2026073.1036414574,9,0.5323998037090086
SYCL-CPU,inclusive_scan,131072,2189195.2028725278,2226457.42908438,761490.3982830973,2004327.1687612187,2800452.542190301,9,0.3420188449757409
SYCL-CPU,inclusive_scan,262144,2297685.545679012,2380737.208230452,393957.39010915015,2198156.3012345685,2447735.6419753046,9,0.16547705842845617
SYCL-CPU,inclusive_scan,524288,3039808.5214521466,3016161.1107444074,289775.5736030843,2869362.4224422434,3114587.132013202,9,0.09607430205595545
SYCL-CPU,inclusive_scan,1048576,5642238.3768115975,5617184.08749329,444252.6225319394,5207333.033816425,5780273.676328502,9,0.07908813662010326
SYCL-CPU,inclusive_scan,2097152,7624308.5699999975,8201823.4488888895,1662710.7486814503,7519675.3599999985,7824603.240000002,9,0.20272452327740603
SYCL-CPU,inclusive_scan,4194304,17851410.564102557,18906630.514245015,2901505.041527074,17489579.000000004,18306782.35897436,9,0.15346494656152312
SYCL-CPU,inclusive_scan,8388608,37629406.71052632,38329562.581871346,1309930.1661552817,37474404.394736834,38533563.315789476,9,0.03417545304247319
SYCL-CPU,inclusive_scan,16777216,84949345.8125,85224713.1111111,633904.307851596,84902115.49999999,85269749.3125,9,0.0074380339306645464
SYCL-CPU,inclusive_scan,33554432,212008477.25,204347039.30555555,16302189.566948257,199958479.375,213666972.5,9,0.07977697950676917
SYCL-CPU,inclusive_scan,67108864,377565566.6666667,380009196.1851852,23053448.031688962,360681667.0,387515272.0,9,0.060665500369771606
SYCL-CPU,inclusive_scan,134217728,953484083.0,955114470.6666666,189323314.2460431,841116432.0,957090047.0,9,0.19822054848974915
SYCL-CPU,inclusive_scan,268435456,1884608201.0,1891933346.5555556,14567794.480192438,1883231805.0,1902502054.0,9,0.00769995122011803
SYCL-wg1024,inclusive_scan,8,373604.0,395894.3333333333,51290.388383204896,367513.0,390400.0,9,0.1295557527973497
SYCL-wg1024,inclusive_scan,16,156632.73880173924,157981.42928242928,2927.081166368235,156398.7187677187,158780.79795879824,9,0.01852800787828918
SYCL-wg1024,inclusive_scan,32,173147.3646195918,170654.39271506688,4189.256463944139,166796.0653903531,173805.3431128782,9,0.024548190042425286
SYCL-wg1024,inclusive_scan,64,191241.9680895154,192538.5628923577,4574.045371291784,190479.13372012656,192845.6698439018,9,0.02375651559136748
SYCL-wg1024,inclusive_scan,128,212767.49824614945,215137.7246877805,7550.766479957608,210922.8574043003,213385.06664633154,9,0.035097361427037906
SYCL-wg1024,inclusive_scan,256,226363.7290007246,225546.71248692574,1812.27785216487,223964.9362780595,227070.8385228099,9,0.008035044413559884
SYCL-wg1024,inclusive_scan,512,200563.98918640573,200648.33369569367,421.9873193036153,200325.30707174694,200869.9831788531,9,0.0021031189820076342
SYCL-wg1024,inclusive_scan,1024,215706.0149116069,215674.5287044153,345.5702445204372,215620.67701767778,215891.13174481172,9,0.0016022765720009784
SYCL-wg1024,inclusive_scan,2048,231518.26212146218,233231.93242870536,5107.650605272092,231145.94191626637,232137.16283303004,9,0.021899448124812006
SYCL-wg1024,inclusive_scan,4096,256478.15697912392,258458.41215263572,5798.3394191444895,256293.34097421254,257218.88866148188,9,0.022434322686004163
SYCL-wg1024,inclusive_scan,8192,299293.59931871376,300795.14328294643,4764.168815347956,299266.8652331268,299651.0804768994,9,0.015838582908456356
SYCL-wg1024,inclusive_scan,16384,365677.386261261,366133.55702577607,1563.5039777742372,365538.4298986491,365967.53490991006,9,0.0042703105131228535
SYCL-wg1024,inclusive_scan,32768,459445.11133004865,460248.05280058377,1927.2221711849404,459362.13596059097,460119.98883415386,9,0.004187355404238868
SYCL-wg1024,inclusive_scan,65536,622882.8419412281,623417.35618878,1004.0124370241379,622594.7600178103,624264.2243989308,9,0.001610498050875741
SYCL-wg1024,inclusive_scan,131072,968895.1218375508,961070.8459091582,10347.983246740545,950448.7842876144,969642.5985352872,9,0.01076713885431777
SYCL-wg1024,inclusive_scan,262144,1405852.5261044162,1406172.807786702,948.0142638976286,1405591.625502007,1406347.1204819274,9,0.0006741804838267289
SYCL-wg1024,inclusive_scan,524288,2304882.679276317,2305108.363486843,534.9966402279977,2304762.358552631,2305522.3305921066,9,0.00023209175269258496
SYCL-wg1024,inclusive_scan,1048576,4283842.5696202535,4285635.506329115,46004.80017853944,4240415.0,4317013.648734176,9,0.010734650697801669
SYCL-wg1024,inclusive_scan,2097152,8069479.005747126,8092253.25798212,90790.63436640493,8026146.091954023,8156267.827586203,9,0.011219450438831723
SYCL-wg1024,inclusive_scan,4194304,15825973.534246583,15832668.925418569,21309.581043894952,15818009.876712326,15841585.465753421,9,0.0013459247549655682
SYCL-wg1024,inclusive_scan,8388608,31294728.923076916,31319201.809116807,52998.949279665896,31286719.076923076,31314150.897435892,9,0.001692219029165624
SYCL-wg1024,inclusive_scan,16777216,62617687.23809524,62369800.86243386,333146.1439111814,62020234.57142856,62661707.8095238,9,0.005341465569947646
SYCL-wg1024,inclusive_scan,33554432,124588205.4,126115860.83333333,4535750.893695647,124530490.79999998,124652690.6,9,0.03596495209821234
SYCL-wg1024,inclusive_scan,67108864,247438063.60000005,259594359.9777778,16671525.893318411,247379426.19999996,276747397.6,9,0.06422144878165131
SYCL-wg1024,inclusive_scan,134217728,593822159.5,593650907.3888888,635649.745872779,593307523.5,594039580.5,9,0.0010707466929826112
SYCL-wg1024,inclusive_scan,268435456,937279758.0000001,921917424.3888888,29626697.027542695,934882248.0000001,937563419.0,9,0.032135955177527244
SYCL-wg128,inclusive_scan,8,395800.0,413247.8888888889,40042.029835675305,388440.0,429059.0,9,0.09689590899868218
SYCL-wg128,inclusive_scan,16,176327.9289673581,170167.0596728942,8004.088102302863,162138.46561281075,176821.41510983382,9,0.04703664808975853
SYCL-wg128,inclusive_scan,32,159926.7237963889,163478.12533433654,13552.237952881276,149073.2627883651,175323.4679037111,9,0.08289939663282155
SYCL-wg128,inclusive_scan,64,160583.0488862836,162806.54835222103,5421.640288580149,160543.61125439635,161086.2706916762,9,0.03330111929435906
SYCL-wg128,inclusive_scan,128,174009.0344268434,173738.47521239604,799.6420643748779,172911.1052762884,174513.7159785453,9,0.004602561772211434
SYCL-wg128,inclusive_scan,256,186743.77109073955,188077.8058692412,4472.747727829047,186445.17191444198,186869.22638501364,9,0.02378136913687025
SYCL-wg128,inclusive_scan,512,200237.25842052384,200205.18682018676,324.32690891355094,199932.20452916774,200399.21943528764,9,0.0016199725594764109
SYCL-wg128,inclusive_scan,1024,217634.02181311903,217813.8791941693,1383.480286694554,216942.66646039629,218555.9060952967,9,0.006351662675550882
SYCL-wg128,inclusive_scan,2048,232697.05939936975,232492.14256217412,562.3712738564045,231901.10917537886,232994.9090758253,9,0.0024188829250692315
SYCL-wg128,inclusive_scan,4096,254642.73147642528,254740.55207638018,825.1069721138089,254309.55616238815,255077.7480429632,9,0.003239009122765867
SYCL-wg128,inclusive_scan,8192,286020.0403854033,285963.6523165232,236.62340756964133,285754.0325953263,286118.0014350148,9,0.0008274597336158343
SYCL-wg128,inclusive_scan,16384,333444.6998805261,334094.8416301608,1385.9619169458178,333289.6755077661,333923.710155317,9,0.0041484086081163205
SYCL-wg128,inclusive_scan,32768,418852.58462918596,418654.95378123346,456.40585583356784,418574.5777511967,418955.2658492828,9,0.0010901718747416541
SYCL-wg128,inclusive_scan,65536,577330.8339513812,577423.3872178734,489.601828926673,577293.9048207665,577687.7173465202,9,0.0008479078606179429
SYCL-wg128,inclusive_scan,131072,883640.8049242424,883646.6454124579,441.55331480108777,883294.4053030324,883748.0511363635,9,0.0004996944390537293
SYCL-wg128,inclusive_scan,262144,1389903.8652550532,1376272.026307347,20820.363613549136,1348880.7680461984,1390167.3869104928,9,0.015128087482393951
SYCL-wg128,inclusive_scan,524288,2161490.61574074,2175484.695473251,30792.459818972693,2160269.733024694,2168239.6450617267,9,0.014154298526229878
SYCL-wg128,inclusive_scan,1048576,4029555.4384384383,4082177.769436102,96240.94136578518,4017072.219219222,4163265.114114115,9,0.02357588199278239
SYCL-wg128,inclusive_scan,2097152,7777207.572222226,7718767.819135804,105412.31212354433,7613945.144444444,7802052.1555555565,9,0.013656624294646334
SYCL-wg128,inclusive_scan,4194304,15652124.864864862,15836463.151651654,720108.287940345,15644877.540540537,15660645.486486493,9,0.04547153496614184
SYCL-wg128,inclusive_scan,8388608,30580121.249999993,30582958.83055556,26467.50891614913,30567767.6,30606602.349999994,9,0.0008654332323694376
SYCL-wg128,inclusive_scan,16777216,60679740.666666664,60908985.53439154,341904.80099623284,60612278.47619048,61260789.2857143,9,0.005613372115731272
SYCL-wg128,inclusive_scan,33554432,121888507.7,123205500.23333332,2691981.6000921987,121816554.6,123233659.8,9,0.021849524534164274
SYCL-wg128,inclusive_scan,67108864,257923440.6,258223688.44444445,11709514.210103778,246077501.8,269932316.00000006,9,0.045346398235741346
SYCL-wg128,inclusive_scan,134217728,589258824.5,589212342.1666666,593644.3231329917,588587156.5,589698548.4999999,9,0.0010075218739479007
SYCL-wg128,inclusive_scan,268435456,931431383.5000001,930324927.8333334,31260660.05200871,930932580.0,931583121.5,9,0.03360187297658762
SYCL-wg256,inclusive_scan,8,404671.0,414071.22222222225,37097.29094144806,390442.0,411200.0,9,0.08959157012253999
SYCL-wg256,inclusive_scan,16,149650.68769519008,150105.72352927562,2064.236094546145,149291.75307099722,149730.2914844882,9,0.013751881314129572
SYCL-wg256,inclusive_scan,32,165219.3173532199,165221.7276804504,597.2880901085286,165177.79663825763,165323.0408380682,9,0.0036150698730358444
SYCL-wg256,inclusive_scan,64,179970.96176622112,179921.33710950936,225.52106958050837,179658.9736096809,180099.6709577752,9,0.0012534426055495834
SYCL-wg256,inclusive_scan,128,196734.66657275643,196732.57238108653,371.73947477627894,196578.68474433012,196762.666009297,9,0.0018895674990524202
SYCL-wg256,inclusive_scan,256,212381.81530303037,212619.27289562288,768.3265878746707,212176.5818181824,212886.36848484768,9,0.003613626259797486
SYCL-wg256,inclusive_scan,512,229075.24023533237,229379.47144595147,1124.8019702857534,228587.93152475936,229790.2256904719,9,0.004903673215372239
SYCL-wg256,inclusive_scan,1024,247290.12570721275,250393.31749960687,9592.373581997022,246656.85183875533,247661.671499292,9,0.038309223575873116
SYCL-wg256,inclusive_scan,2048,266663.53806721146,266581.79973841313,753.1172882551796,266216.5771786598,267285.5437630528,9,0.002825088918276438
SYCL-wg256,inclusive_scan,4096,287518.5321817809,287850.7808394451,636.8715916573725,287312.47912811005,288352.46308862837,9,0.0022125060414986374
SYCL-wg256,inclusive_scan,8192,321501.01713502436,322878.4098951588,4866.911763848824,320473.996344529,322232.7128169963,9,0.015073512550526837
SYCL-wg256,inclusive_scan,16384,365733.66875326115,365842.20434127445,913.7332831884038,365263.85028690816,365793.8808033387,9,0.002497615836405882
SYCL-wg256,inclusive_scan,32768,433676.5086288057,432356.57856570114,3215.8710630305613,433339.6975211791,434087.6642610617,9,0.007438006549359988
SYCL-wg256,inclusive_scan,65536,570305.1301342006,581493.7867696898,25220.441552936143,559314.5705571376,603020.7938186239,9,0.043371816048182674
SYCL-wg256,inclusive_scan,131072,828748.1796230854,828522.4067530428,1046.7013327208354,827929.0677267368,829330.4823321558,9,0.0012633349734291796
SYCL-wg256,inclusive_scan,262144,1164455.4114713222,1172811.6979772793,24234.729452338623,1164395.185369911,1165551.1637572737,9,0.020663785579676335
SYCL-wg256,inclusive_scan,524288,1887170.6293800522,1887358.6289308171,747.8905765426549,1887021.2668463595,1887804.0943396203,9,0.0003962630975790397
SYCL-wg256,inclusive_scan,1048576,3452133.830049261,3448471.153530378,9733.803224528774,3437380.8078817767,3454551.157635471,9,0.002822643076066847
SYCL-wg256,inclusive_scan,2097152,6534331.159624415,6536096.947313512,72195.1570963785,6467190.920187791,6612203.422535215,9,0.011045606832079257
SYCL-wg256,inclusive_scan,4194304,12857355.053763442,12890787.387096776,99003.98868337755,12854089.903225811,12874203.569892475,9,0.007680212675175844
SYCL-wg256,inclusive_scan,8388608,25589642.163265295,25782607.471655324,400833.7923903659,25575646.18367348,25622333.469387755,9,0.01554667396736468
SYCL-wg256,inclusive_scan,16777216,51041948.04166666,51053847.86574074,114921.47481553257,50966120.583333336,51084074.916666664,9,0.0022509855695450856
SYCL-wg256,inclusive_scan,33554432,107851821.58333331,106456258.05555555,2705978.5024763327,107462725.16666669,107875966.83333333,9,0.025418688876554192
SYCL-wg256,inclusive_scan,67108864,228319443.33333337,229787332.55555555,17689559.346906234,216728528.33333334,231697397.16666666,9,0.07698230859888432
SYCL-wg256,inclusive_scan,134217728,462982083.0,475365412.3333333,24731696.61291368,462706298.6666667,463545291.3333333,9,0.052026706132274184
SYCL-wg256,inclusive_scan,268435456,889977576.5,894155027.0555556,22619041.207840115,889153903.5,890686957.0,9,0.025296554314886997
SYCL-wg32,inclusive_scan,8,398258.0,404517.3333333333,32568.306614713638,385567.0,406294.0,9,0.08051152306958492
SYCL-wg32,inclusive_scan,16,177339.84712509712,180754.6369895538,7954.443014119433,176898.58741258737,177573.22416472406,9,0.044006854521685866
SYCL-wg32,inclusive_scan,32,193285.66703387475,192831.4850974634,1450.6447486553197,192589.89713577574,193449.21385293297,9,0.007522862503092356
SYCL-wg32,inclusive_scan,64,208266.77797460777,208959.73724699017,3037.9492781496338,207582.84130499055,209034.36950103403,9,0.014538443233965121
SYCL-wg32,inclusive_scan,128,223809.70463320453,223682.6782139282,867.9918265032918,223165.25949163453,223945.41779279284,9,0.003880460630362946
SYCL-wg32,inclusive_scan,256,243078.28814737586,242868.475109103,1298.4065733784037,242284.8526242621,243678.47045533507,9,0.005346130545741372
