algo,size,H_stat,p_value,significant
find,8,4.7213,0.450832,False
find,16,14.0735,0.015149,True
find,32,14.6103,0.012164,True
find,64,18.1613,0.002751,True
find,128,24.1123,0.000207,True
find,256,18.9768,0.001941,True
find,512,21.9187,0.000543,True
find,1024,19.6684,0.001442,True
find,2048,19.4103,0.001612,True
find,4096,26.7497,6.4e-05,True
find,8192,16.8039,0.004887,True
find,16384,22.311,0.000457,True
find,32768,22.7755,0.000373,True
find,65536,25.9497,9.1e-05,True
find,131072,21.7019,0.000596,True
find,262144,27.4516,4.7e-05,True
find,524288,28.2258,3.3e-05,True
find,1048576,26.8787,6e-05,True
find,2097152,28.2258,3.3e-05,True
find,4194304,27.5755,4.4e-05,True
find,8388608,26.5071,7.1e-05,True
find,16777216,25.7639,9.9e-05,True
find,33554432,28.2258,3.3e-05,True
find,67108864,28.2258,3.3e-05,True
find,134217728,28.2258,3.3e-05,True
find,268435456,27.7097,4.1e-05,True
for_each,8,11.529,0.041843,True
for_each,16,14.631,0.012061,True
for_each,32,20.2,0.001146,True
for_each,64,25.5316,0.00011,True
for_each,128,18.7187,0.002168,True
for_each,256,12.3239,0.03061,True
for_each,512,24.169,0.000201,True
for_each,1024,26.7445,6.4e-05,True
for_each,2048,13.929,0.016067,True
for_each,4096,23.2297,0.000305,True
for_each,8192,16.3652,0.005875,True
for_each,16384,26.3006,7.8e-05,True
for_each,32768,22.4555,0.000429,True
for_each,65536,25.8877,9.4e-05,True
for_each,131072,23.08,0.000326,True
for_each,262144,25.2529,0.000125,True
for_each,524288,24.4994,0.000174,True
for_each,1048576,26.0271,8.8e-05,True
for_each,2097152,27.7097,4.1e-05,True
for_each,4194304,26.12,8.5e-05,True
for_each,8388608,28.2258,3.3e-05,True
for_each,16777216,28.2258,3.3e-05,True
for_each,33554432,27.7097,4.1e-05,True
for_each,67108864,27.1935,5.2e-05,True
for_each,134217728,28.1019,3.5e-05,True
for_each,268435456,26.2439,8e-05,True
inclusive_scan,8,17.1135,0.004289,True
inclusive_scan,16,15.7561,0.007576,True
inclusive_scan,32,26.8942,6e-05,True
inclusive_scan,64,27.2968,5e-05,True
inclusive_scan,128,27.3742,4.8e-05,True
inclusive_scan,256,27.5548,4.4e-05,True
inclusive_scan,512,22.3419,0.000451,True
inclusive_scan,1024,27.2761,5e-05,True
inclusive_scan,2048,25.3974,0.000117,True
inclusive_scan,4096,25.8103,9.7e-05,True
inclusive_scan,8192,27.8852,3.8e-05,True
inclusive_scan,16384,24.0348,0.000214,True
inclusive_scan,32768,12.4632,0.028963,True
inclusive_scan,65536,24.5819,0.000168,True
inclusive_scan,131072,28.2258,3.3e-05,True
inclusive_scan,262144,28.2258,3.3e-05,True
inclusive_scan,524288,25.4335,0.000115,True
inclusive_scan,1048576,28.2258,3.3e-05,True
inclusive_scan,2097152,27.7097,4.1e-05,True
inclusive_scan,4194304,24.6026,0.000166,True
inclusive_scan,8388608,13.3871,0.020009,True
inclusive_scan,16777216,18.4813,0.0024,True
inclusive_scan,33554432,14.2387,0.014162,True
inclusive_scan,67108864,18.1097,0.002812,True
inclusive_scan,134217728,4.9123,0.426682,False
inclusive_scan,268435456,3.0542,0.691631,False
reduce,8,6.6619,0.247021,False
reduce,16,18.5123,0.002368,True
reduce,32,22.7445,0.000378,True
reduce,64,24.4735,0.000176,True
reduce,128,16.4374,0.0057,True
reduce,256,20.1845,0.001154,True
reduce,512,16.6903,0.005126,True
reduce,1024,24.6335,0.000164,True
reduce,2048,23.2348,0.000304,True
reduce,4096,25.2426,0.000125,True
reduce,8192,22.4865,0.000423,True
reduce,16384,26.5484,7e-05,True
reduce,32768,27.0594,5.6e-05,True
reduce,65536,25.3716,0.000118,True
reduce,131072,27.7097,4.1e-05,True
reduce,262144,26.3832,7.5e-05,True
reduce,524288,27.4206,4.7e-05,True
reduce,1048576,27.2916,5e-05,True
reduce,2097152,24.2981,0.00019,True
reduce,4194304,26.6774,6.6e-05,True
reduce,8388608,27.3381,4.9e-05,True
reduce,16777216,28.2258,3.3e-05,True
reduce,33554432,28.2258,3.3e-05,True
reduce,67108864,28.2258,3.3e-05,True
reduce,134217728,28.2258,3.3e-05,True
reduce,268435456,27.5239,4.5e-05,True
sort,8,19.6518,0.001452,True
sort,16,28.0341,3.6e-05,True
sort,32,45.9961,0.0,True
sort,64,41.5974,0.0,True
sort,128,36.9003,1e-06,True
sort,256,47.503,0.0,True
sort,512,52.3154,0.0,True
sort,1024,55.7384,0.0,True
sort,2048,55.6905,0.0,True
sort,4096,38.1298,0.0,True
sort,8192,46.7836,0.0,True
sort,16384,55.0452,0.0,True
sort,32768,52.4426,0.0,True
sort,65536,33.7462,3e-06,True
sort,131072,55.7672,0.0,True
sort,262144,30.8026,1e-05,True
sort,524288,37.6839,0.0,True
sort,1048576,45.4131,0.0,True
sort,2097152,54.4557,0.0,True
sort,4194304,52.5003,0.0,True
sort,8388608,56.3679,0.0,True
sort,16777216,51.0269,0.0,True
sort,33554432,49.5495,0.0,True
sort,67108864,52.9921,0.0,True
sort,134217728,43.0052,0.0,True
sort,268435456,35.5856,1e-06,True
